詞性,日文單字,平假名 (羅馬拼音),中文意思,例文
名詞 (Nouns),お菓子,おかし (okashi),點心、零食,子どもたちにお菓子をあげました。
名詞 (Nouns),ケーキ,ケーキ (keeki),蛋糕,誕生日ケーキにろうそくを立てます。
名詞 (Nouns),チョコレート,チョコレート (chokoreeto),巧克力,バレンタインにチョコレートを贈ります。
名詞 (Nouns),クッキー,クッキー (kukkii),餅乾,手作りのクッキーを焼きました。
名詞 (Nouns),アイスクリーム,アイスクリーム (aisukuriimu),冰淇淋,夏はアイスクリームがよく売れます。
名詞 (Nouns),プリン,プリン (purin),布丁,このプリンはとてもなめらかです。
名詞 (Nouns),シュークリーム,シュークリーム (shuukuriimu),泡芙,シュークリームを四つ買いました。
名詞 (Nouns),ドーナツ,ドーナツ (doonatsu),甜甜圈,コーヒーとドーナツで休憩します。
名詞 (Nouns),パン,パン (pan),麵包,毎朝パンを焼いて食べます。
名詞 (Nouns),食パン,しょくパン (shokupan),吐司,食パンを一斤ください。
名詞 (Nouns),メロンパン,メロンパン (meronpan),菠蘿麵包,メロンパンは外がサクサクです。
名詞 (Nouns),クレープ,クレープ (kureepu),可麗餅,原宿でクレープを食べました。
名詞 (Nouns),パンケーキ,パンケーキ (pankeeki),鬆餅,ふわふわのパンケーキが人気です。
名詞 (Nouns),カステラ,カステラ (kasutera),長崎蛋糕、蜂蜜蛋糕,長崎のカステラをお土産に買いました。
名詞 (Nouns),タルト,タルト (taruto),水果塔、塔類點心,いちごのタルトを注文しました。
名詞 (Nouns),和菓子,わがし (wagashi),和菓子（日式點心）,お茶と一緒に和菓子をどうぞ。
名詞 (Nouns),餅,もち (mochi),麻糬、年糕,お正月に餅を食べます。
名詞 (Nouns),団子,だんご (dango),糰子,花見団子は三色です。
名詞 (Nouns),大福,だいふく (daifuku),大福,いちご大福が大好きです。
名詞 (Nouns),どら焼き,どらやき (dorayaki),銅鑼燒,ドラえもんはどら焼きが好きです。
名詞 (Nouns),たい焼き,たいやき (taiyaki),鯛魚燒,たい焼きはしっぽまであんこ入りです。
名詞 (Nouns),まんじゅう,まんじゅう (manjuu),日式饅頭（豆沙包）,温泉街でまんじゅうを買いました。
名詞 (Nouns),羊羹,ようかん (youkan),羊羹,羊羹は日本の伝統的なお菓子です。
名詞 (Nouns),せんべい,せんべい (senbei),仙貝、米果,おばあちゃんはせんべいが好きです。
名詞 (Nouns),飴,あめ (ame),糖果,のどが痛いので飴をなめます。
名詞 (Nouns),ガム,ガム (gamu),口香糖,運転しながらガムを噛みます。
名詞 (Nouns),ポテトチップス,ポテトチップス (potetochippusu),洋芋片,映画を見ながらポテトチップスを食べます。
名詞 (Nouns),かき氷,かきごおり (kakigoori),剉冰、刨冰,夏祭りでいちごのかき氷を食べました。
名詞 (Nouns),ゼリー,ゼリー (zerii),果凍,オレンジゼリーを冷蔵庫で冷やします。
名詞 (Nouns),ソフトクリーム,ソフトクリーム (sofutokuriimu),霜淇淋,北海道のソフトクリームは濃厚です。
