詞性,日文單字,平假名 (羅馬拼音),中文意思,例文
名詞 (Nouns),魚,さかな (sakana),魚,毎朝市場で新しい魚を買います。
名詞 (Nouns),鮭,さけ (sake),鮭魚,朝ごはんに焼き鮭を食べました。
名詞 (Nouns),鮪,まぐろ (maguro),鮪魚,鮪の刺身が一番好きです。
名詞 (Nouns),鯖,さば (saba),鯖魚（青花魚）,鯖の味噌煮は人気があります。
名詞 (Nouns),鰻,うなぎ (unagi),鰻魚,夏に鰻を食べると元気が出ます。
名詞 (Nouns),秋刀魚,さんま (sanma),秋刀魚,秋は秋刀魚がおいしい季節です。
名詞 (Nouns),鯛,たい (tai),鯛魚,お祝いの日に鯛を食べます。
名詞 (Nouns),鰹,かつお (katsuo),鰹魚,鰹のたたきを注文しました。
名詞 (Nouns),鱈,たら (tara),鱈魚,冬の鍋には鱈を入れます。
名詞 (Nouns),河豚,ふぐ (fugu),河豚,河豚は資格がある料理人が作ります。
名詞 (Nouns),鰤,ぶり (buri),鰤魚（青甘）,冬の鰤はとても脂がのっています。
名詞 (Nouns),鯵,あじ (aji),竹筴魚,鯵フライを二つください。
名詞 (Nouns),鰯,いわし (iwashi),沙丁魚,鰯は体にいい魚です。
名詞 (Nouns),海老,えび (ebi),蝦子,海老の天ぷらをお願いします。
名詞 (Nouns),蟹,かに (kani),螃蟹,北海道で蟹を食べました。
名詞 (Nouns),烏賊,いか (ika),花枝、魷魚,烏賊の刺身は甘くておいしいです。
名詞 (Nouns),蛸,たこ (tako),章魚,大阪でたこ焼きを食べました。
名詞 (Nouns),貝,かい (kai),貝類,この味噌汁には貝が入っています。
名詞 (Nouns),牡蠣,かき (kaki),牡蠣,冬は生牡蠣がおいしいです。
名詞 (Nouns),帆立,ほたて (hotate),干貝、扇貝,帆立のバター焼きを注文しました。
名詞 (Nouns),浅蜊,あさり (asari),海瓜子、蛤蜊,浅蜊の味噌汁が大好きです。
名詞 (Nouns),雲丹,うに (uni),海膽,雲丹の軍艦巻きは少し高いです。
名詞 (Nouns),いくら,いくら (ikura),鮭魚卵,いくら丼を食べたいです。
名詞 (Nouns),刺身,さしみ (sashimi),生魚片,刺身の盛り合わせをください。
名詞 (Nouns),寿司,すし (sushi),壽司,回転寿司へ行きましょう。
名詞 (Nouns),海鮮,かいせん (kaisen),海鮮,この店の海鮮丼は有名です。
名詞 (Nouns),海苔,のり (nori),海苔,おにぎりに海苔を巻きます。
名詞 (Nouns),焼き魚,やきざかな (yakizakana),烤魚,定食の焼き魚はとてもおいしかったです。
名詞 (Nouns),煮魚,にざかな (nizakana),燉魚、滷魚,母の煮魚の味が忘れられません。
名詞 (Nouns),天ぷら,てんぷら (tenpura),天婦羅,海老の天ぷらはこの店の名物です。
名詞 (Nouns),蒲焼き,かばやき (kabayaki),蒲燒,鰻の蒲焼きをご飯にのせます。
名詞 (Nouns),干物,ひもの (himono),魚乾、一夜干,朝ごはんに鯵の干物を焼きました。
