詞性,日文單字,平假名 (羅馬拼音),中文意思,例文
名詞 (Nouns),レストラン,レストラン (resutoran),餐廳,駅前の新しいレストランへ行きました。
名詞 (Nouns),食堂,しょくどう (shokudou),食堂,昼は学校の食堂で食べます。
名詞 (Nouns),居酒屋,いざかや (izakaya),居酒屋,仕事の後で居酒屋に寄りました。
名詞 (Nouns),メニュー,メニュー (menyuu),菜單,すみません、メニューをください。
名詞 (Nouns),注文,ちゅうもん (chuumon),點餐、訂購,注文をお願いします。
名詞 (Nouns),店員,てんいん (ten'in),店員,店員さんにおすすめを聞きました。
名詞 (Nouns),お客さん,おきゃくさん (okyakusan),客人,今日はお客さんが多いですね。
名詞 (Nouns),席,せき (seki),座位,窓側の席をお願いします。
名詞 (Nouns),予約,よやく (yoyaku),預約,七時に二人で予約しました。
名詞 (Nouns),会計,かいけい (kaikei),結帳,お会計をお願いします。
名詞 (Nouns),お勘定,おかんじょう (okanjou),帳單、結帳,すみません、お勘定お願いします。
名詞 (Nouns),レシート,レシート (reshiito),收據,レシートをもらえますか。
名詞 (Nouns),お箸,おはし (ohashi),筷子,お箸をもう一つください。
名詞 (Nouns),フォーク,フォーク (fooku),叉子,フォークで食べてもいいですか。
名詞 (Nouns),スプーン,スプーン (supuun),湯匙,カレーはスプーンで食べます。
名詞 (Nouns),コップ,コップ (koppu),杯子,コップに水を入れました。
名詞 (Nouns),お冷,おひや (ohiya),冰開水,お冷を二つお願いします。
名詞 (Nouns),おしぼり,おしぼり (oshibori),濕毛巾,おしぼりで手をふきます。
名詞 (Nouns),定食,ていしょく (teishoku),定食、套餐,魚の定食を注文しました。
名詞 (Nouns),丼,どんぶり (donburi),丼飯、蓋飯,この店の丼は安くておいしいです。
名詞 (Nouns),ラーメン,ラーメン (raamen),拉麵,寒い日はラーメンが食べたいです。
名詞 (Nouns),うどん,うどん (udon),烏龍麵,お昼にうどんを食べました。
名詞 (Nouns),そば,そば (soba),蕎麥麵,大晦日にそばを食べます。
名詞 (Nouns),カレーライス,カレーライス (kareeraisu),咖哩飯,子どもはカレーライスが大好きです。
名詞 (Nouns),味噌汁,みそしる (misoshiru),味噌湯,定食には味噌汁が付いています。
名詞 (Nouns),ご飯,ごはん (gohan),白飯、飯,ご飯を大盛りにしてください。
名詞 (Nouns),飲み物,のみもの (nomimono),飲料,お飲み物は何にしますか。
名詞 (Nouns),お茶,おちゃ (ocha),茶,食事の後でお茶を飲みます。
名詞 (Nouns),生ビール,なまビール (namabiiru),生啤酒,とりあえず生ビールをください。
名詞 (Nouns),デザート,デザート (dezaato),甜點,デザートは別腹です。
名詞 (Nouns),大盛り,おおもり (oomori),大碗、大份,ラーメンを大盛りでお願いします。
名詞 (Nouns),お代わり,おかわり (okawari),再來一份、續杯／續飯,ご飯のお代わりは無料です。
名詞 (Nouns),持ち帰り,もちかえり (mochikaeri),外帶,持ち帰りにしますか。店内で食べますか。
名詞 (Nouns),食べ放題,たべほうだい (tabehoudai),吃到飽,この店は九十分食べ放題です。
名詞 (Nouns),おすすめ,おすすめ (osusume),推薦（菜色）,今日のおすすめは何ですか。
名詞 (Nouns),割り勘,わりかん (warikan),各付各的、平分帳單,今日は割り勘にしましょう。
い形容詞 (Adjectives),美味しい,おいしい (oishii),好吃的,この店の寿司はとても美味しいです。
い形容詞 (Adjectives),辛い,からい (karai),辣的,このカレーはちょっと辛いです。
い形容詞 (Adjectives),甘い,あまい (amai),甜的,デザートは甘いものがいいです。
い形容詞 (Adjectives),しょっぱい,しょっぱい (shoppai),鹹的,この味噌汁は少ししょっぱいです。
