詞性,日文單字,平假名 (羅馬拼音),中文意思
動詞 (Verbs),会う,あう (au),見面、遇見
動詞 (Verbs),開く,あく (aku),開（自動）
動詞 (Verbs),開ける,あける (akeru),打開
動詞 (Verbs),上げる,あげる (ageru),給；舉起
動詞 (Verbs),遊ぶ,あそぶ (asobu),玩耍
動詞 (Verbs),浴びる,あびる (abiru),淋浴
動詞 (Verbs),洗う,あらう (arau),洗
動詞 (Verbs),ある,ある (aru),有、在（無生命）
動詞 (Verbs),歩く,あるく (aruku),走路
動詞 (Verbs),言う,いう (iu),說
動詞 (Verbs),行く,いく (iku),去
動詞 (Verbs),急ぐ,いそぐ (isogu),急忙、趕快
動詞 (Verbs),要る,いる (iru),需要
動詞 (Verbs),いる,いる (iru),在、有（生物）
動詞 (Verbs),入れる,いれる (ireru),放入
動詞 (Verbs),歌う,うたう (utau),唱歌
動詞 (Verbs),生まれる,うまれる (umareru),出生
動詞 (Verbs),売る,うる (uru),賣
動詞 (Verbs),運転する,うんてんする (unten suru),開車、駕駛
動詞 (Verbs),起きる,おきる (okiru),起床、起來
動詞 (Verbs),送る,おくる (okuru),寄送、送行
動詞 (Verbs),置く,おく (oku),放置
動詞 (Verbs),教える,おしえる (oshieru),教、告訴
動詞 (Verbs),押す,おす (osu),推、按
動詞 (Verbs),覚える,おぼえる (oboeru),記住、學會
動詞 (Verbs),思う,おもう (omou),想、認為
動詞 (Verbs),泳ぐ,およぐ (oyogu),游泳
動詞 (Verbs),降りる,おりる (oriru),下（車）
動詞 (Verbs),終わる,おわる (owaru),結束
動詞 (Verbs),買う,かう (kau),買
動詞 (Verbs),返す,かえす (kaesu),歸還
動詞 (Verbs),帰る,かえる (kaeru),回家、回去
動詞 (Verbs),かかる,かかる (kakaru),花費（時間、金錢）
動詞 (Verbs),書く,かく (kaku),寫
動詞 (Verbs),かける,かける (kakeru),打（電話）、戴（眼鏡）
動詞 (Verbs),貸す,かす (kasu),借出
動詞 (Verbs),かぶる,かぶる (kaburu),戴（帽子）
動詞 (Verbs),借りる,かりる (kariru),借入
動詞 (Verbs),買い物する,かいものする (kaimono suru),購物
動詞 (Verbs),消える,きえる (kieru),消失、熄滅
動詞 (Verbs),聞く,きく (kiku),聽、問
動詞 (Verbs),切る,きる (kiru),切、剪
動詞 (Verbs),着る,きる (kiru),穿（上衣）
動詞 (Verbs),来る,くる (kuru),來
動詞 (Verbs),結婚する,けっこんする (kekkon suru),結婚
動詞 (Verbs),消す,けす (kesu),關掉、消除
動詞 (Verbs),答える,こたえる (kotaeru),回答
動詞 (Verbs),困る,こまる (komaru),為難、困擾
動詞 (Verbs),咲く,さく (saku),開（花）
動詞 (Verbs),差す,さす (sasu),撐（傘）
動詞 (Verbs),散歩する,さんぽする (sanpo suru),散步
動詞 (Verbs),死ぬ,しぬ (shinu),死
動詞 (Verbs),閉まる,しまる (shimaru),關上（自動）
動詞 (Verbs),閉める,しめる (shimeru),關閉
動詞 (Verbs),知る,しる (shiru),知道
動詞 (Verbs),質問する,しつもんする (shitsumon suru),提問
動詞 (Verbs),食事する,しょくじする (shokuji suru),用餐
動詞 (Verbs),吸う,すう (suu),吸（菸）
動詞 (Verbs),住む,すむ (sumu),居住
動詞 (Verbs),する,する (suru),做
動詞 (Verbs),座る,すわる (suwaru),坐
動詞 (Verbs),掃除する,そうじする (souji suru),打掃
動詞 (Verbs),洗濯する,せんたくする (sentaku suru),洗衣服
動詞 (Verbs),出す,だす (dasu),拿出、寄出
動詞 (Verbs),立つ,たつ (tatsu),站立
動詞 (Verbs),頼む,たのむ (tanomu),拜託、點（餐）
動詞 (Verbs),食べる,たべる (taberu),吃
動詞 (Verbs),違う,ちがう (chigau),不同、不對
動詞 (Verbs),使う,つかう (tsukau),使用
動詞 (Verbs),疲れる,つかれる (tsukareru),疲累
動詞 (Verbs),着く,つく (tsuku),到達
動詞 (Verbs),作る,つくる (tsukuru),製作、做
動詞 (Verbs),つける,つける (tsukeru),開（電源、燈）
動詞 (Verbs),勤める,つとめる (tsutomeru),任職、工作
動詞 (Verbs),出かける,でかける (dekakeru),外出
動詞 (Verbs),できる,できる (dekiru),能、會
動詞 (Verbs),出る,でる (deru),出去、出來
動詞 (Verbs),電話する,でんわする (denwa suru),打電話
動詞 (Verbs),飛ぶ,とぶ (tobu),飛
動詞 (Verbs),止まる,とまる (tomaru),停止
動詞 (Verbs),取る,とる (toru),拿、取
動詞 (Verbs),撮る,とる (toru),拍（照）
動詞 (Verbs),鳴く,なく (naku),（動物）鳴叫
動詞 (Verbs),泣く,なく (naku),哭
動詞 (Verbs),無くす,なくす (nakusu),弄丟、遺失
動詞 (Verbs),習う,ならう (narau),學習
動詞 (Verbs),並ぶ,ならぶ (narabu),排隊、排列
動詞 (Verbs),並べる,ならべる (naraberu),排列、擺放
動詞 (Verbs),なる,なる (naru),變成
動詞 (Verbs),脱ぐ,ぬぐ (nugu),脫（衣物）
動詞 (Verbs),寝る,ねる (neru),睡覺
動詞 (Verbs),登る,のぼる (noboru),攀登、爬
動詞 (Verbs),飲む,のむ (nomu),喝
動詞 (Verbs),乗る,のる (noru),搭乘
動詞 (Verbs),入る,はいる (hairu),進入
動詞 (Verbs),履く,はく (haku),穿（鞋、褲）
動詞 (Verbs),始まる,はじまる (hajimaru),開始（自動）
動詞 (Verbs),始める,はじめる (hajimeru),開始（他動）
動詞 (Verbs),走る,はしる (hashiru),跑
動詞 (Verbs),働く,はたらく (hataraku),工作
動詞 (Verbs),話す,はなす (hanasu),說、講
動詞 (Verbs),貼る,はる (haru),貼
動詞 (Verbs),晴れる,はれる (hareru),放晴
動詞 (Verbs),引く,ひく (hiku),拉、查（字典）
動詞 (Verbs),弾く,ひく (hiku),彈（樂器）
動詞 (Verbs),降る,ふる (furu),下（雨、雪）
動詞 (Verbs),勉強する,べんきょうする (benkyou suru),學習、用功
動詞 (Verbs),曲がる,まがる (magaru),轉彎、彎曲
動詞 (Verbs),待つ,まつ (matsu),等待
動詞 (Verbs),磨く,みがく (migaku),刷、擦亮
動詞 (Verbs),見せる,みせる (miseru),給…看、出示
動詞 (Verbs),見る,みる (miru),看
動詞 (Verbs),持つ,もつ (motsu),拿、持有
動詞 (Verbs),休む,やすむ (yasumu),休息、請假
動詞 (Verbs),やる,やる (yaru),做、給
動詞 (Verbs),呼ぶ,よぶ (yobu),呼叫、邀請
動詞 (Verbs),読む,よむ (yomu),讀、唸
動詞 (Verbs),旅行する,りょこうする (ryokou suru),旅行
動詞 (Verbs),料理する,りょうりする (ryouri suru),做菜、烹飪
動詞 (Verbs),練習する,れんしゅうする (renshuu suru),練習
動詞 (Verbs),分かる,わかる (wakaru),明白、懂
動詞 (Verbs),忘れる,わすれる (wasureru),忘記
動詞 (Verbs),渡す,わたす (watasu),交給、遞給
動詞 (Verbs),渡る,わたる (wataru),過（橋、馬路）
動詞 (Verbs),笑う,わらう (warau),笑
動詞 (Verbs),通る,とおる (tooru),通過、經過
