詞性,日文單字,平假名 (羅馬拼音),中文意思,例文
,国,くに (kuni),國家,いつ国へかえりますか。
,曇り,くもり (kumori),陰天,あすのてんきはくもりでしょう。
,曇る,くもる (kumoru),變陰暗,あ、くもってきましたね。
,暗い,くらい (kurai),暗的,部屋がくらくなりました。
,～くらい/ぐらい,～くらい/ぐらい (kurai/gurai),約~、~左右,うちから学校まで２０分くらいかかります。
,グラス,グラス (gurasu),玻璃杯,このクラスでいちばん背がたかいのは誰ですか。
,グラム,グラム (guramu),公克,牛肉を500グラム買いました。
,来る,くる (kuru),來,じゃ、あしたまた来ます。
,車,くるま (kuruma),車子,ミラーさんの車は黒いです。
,黒,くろ (kuro),黑色,白と黒のかばんはありますか。
,黒い,くろい (kuroi),黑色的,ミラーさんの車は黒いです。
,警官,けいかん (keikan),警官,警官が立っています。
,今朝,けさ (kesa),今天早上,けさ６じにおきました。
,消す,けす (kesu),消除,電気をけしましょうか。
,けっこう,けっこう (kekkou),很、相當,駅まで迎えに行きましょうか…いいえ、けっこうです。
,結婚,けっこん＋する (kekkon＋suru),結婚,イーさんは結婚しています。
,月曜日,げつようび (getsuyoubi),星期一,月曜日は車が多いです。
,玄関,げんかん (genkan),玄關,げんかんでくつを脱いでくださいね。
,元気,げんき (genki),健康的、精神,太郎君はいつも元気です。
,公園,こうえん (kouen),公園,公園を散歩しました。
,交差点,こうさてん (kousaten),十字路口,あの交差点を右へ曲がると郵便局がみえます。
,紅茶,こうちゃ (koucha),紅茶,コーヒーと紅茶とどちらがすきですか。
,交番,こうばん (kouban),派出所,財布を落としましたから、交番へ行ってみます。
,声,こえ (koe),聲音,とりの声が聞こえます。
,コート,コート (kooto),外套,北海道のふゆはコートをきても寒いです。
,コーヒー,コーヒー (koohii),咖啡,コーヒーと紅茶とどちらがすきですか。
,ここ,ここ (koko),這裡、這時,ここは事務室です。
,午後,ごご (gogo),下午,あしたは午後から雨が降るそうです。
,午前,ごぜん (gozen),上午,イギリスはいま午前４じです。
,答える,こたえる (kotaeru),回答,質問に答えてください。
,こちら,こちら (kochira),這裡,会議室はこちらです、どうぞ。
,こっち,こっち (kotchi),這裡,どこ行くの、こっち、こっち。
,コップ,コップ (koppu),杯子,コップに水を入れました。
,今年,ことし (kotoshi),今年,ことしは台風が多いですね。
,言葉,ことば (kotoba),語言,新しいことばをおぼえなければなりません。
,子供,こども (kodomo),孩子,こどもはお金をはらわなくてもいいです。
,この,この (kono),這個,この傘はいくらですか。
,ご飯,ごはん (gohan),飯,ごはんを食べる前にてをあらいます。
,コピー,コピー (kopii),影印,この資料を９０枚コピーしてください。
,困る,こまる (komaru),為難,え、パソコンが壊れたんですか。困りましたね。
,これ,これ (kore),此、這,すみません、これをください。
,～ころ/ごろ,～ころ/ごろ (koro/goro),~時候、~左右,じゃ、8時ごろ来てください。
,今月,こんげつ (kongetsu),這個月,今月は３１日あります。
